DEXJPUS,lag1,lag2,lag3,lag4,lag5
99.28,98.22,97.86,98.98,99.61,98.9
99.29,99.28,97.74,98,99.42,99.02
99.43,99.29,98.22,97.86,98.98,99.61
99.39,99.43,99.28,97.74,98,99.42
99.42,99.39,99.29,98.22,97.86,98.98
97.84,99.42,99.43,99.28,97.74,98
98.09,97.84,99.39,99.29,98.22,97.86
97.52,98.09,99.42,99.43,99.28,97.74
97.28,97.52,97.84,99.39,99.29,98.22
97.96,97.28,98.09,99.42,99.43,99.28
99.1,97.96,97.52,97.84,99.39,99.29
99.35,99.1,97.28,98.09,99.42,99.43
99,99.35,97.96,97.52,97.84,99.39
98.9,99,99.1,97.28,98.09,99.42
99.29,98.9,99.35,97.96,97.52,97.84
101.74,99.29,99,99.1,97.28,98.09
101.84,101.74,98.9,99.35,97.96,97.52
102.18,101.84,99.29,99,99.1,97.28
102.44,102.18,101.74,98.9,99.35,97.96
102.22,102.44,101.84,99.29,99,99.1
102.98,102.22,102.18,101.74,98.9,99.35
102.54,102.98,102.44,101.84,99.29,99
102.36,102.54,102.22,102.18,101.74,98.9
103.52,102.36,102.98,102.44,101.84,99.29
101.66,103.52,102.54,102.22,102.18,101.74
100.98,101.66,102.36,102.98,102.44,101.84
102.07,100.98,103.52,102.54,102.22,102.18
100.91,102.07,101.66,102.36,102.98,102.44
101.06,100.91,100.98,103.52,102.54,102.22
100.83,101.06,102.07,101.66,102.36,102.98
99.18,100.83,100.91,100.98,103.52,102.54
100.15,99.18,101.06,102.07,101.66,102.36
99.16,100.15,100.83,100.91,100.98,103.52
97.76,99.16,99.18,101.06,102.07,101.66
97.2,97.76,100.15,100.83,100.91,100.98
98.88,97.2,99.16,99.18,101.06,102.07
96.82,98.88,97.76,100.15,100.83,100.91
95.36,96.82,97.2,99.16,99.18,101.06
94.29,95.36,98.88,97.76,100.15,100.83
94.34,94.29,96.82,97.2,99.16,99.18
94.87,94.34,95.36,98.88,97.76,100.15
95.2,94.87,94.29,96.82,97.2,99.16
95.22,95.2,94.34,95.36,98.88,97.76
98.18,95.22,94.87,94.29,96.82,97.2
97.48,98.18,95.2,94.34,95.36,98.88
97.7,97.48,95.22,94.87,94.29,96.82
97.87,97.7,98.18,95.2,94.34,95.36
97.43,97.87,97.48,95.22,94.87,94.29
98.4,97.43,97.7,98.18,95.2,94.34
99.21,98.4,97.87,97.48,95.22,94.87
99.62,99.21,97.43,97.7,98.18,95.2
100.43,99.62,98.4,97.87,97.48,95.22
99.82,100.43,99.21,97.43,97.7,98.18
100.94,99.82,99.62,98.4,97.87,97.48
101.07,100.94,100.43,99.21,97.43,97.7
101.08,101.07,99.82,99.62,98.4,97.87
100.1,101.08,100.94,100.43,99.21,97.43
98.8,100.1,101.07,99.82,99.62,98.4
99.39,98.8,101.08,100.94,100.43,99.21
